sentiment,sentence
1,abençoado
1,sinceridade
1,urbanidade
1,consolação
1,suavidade
1,fértil
1,vida riquezas acumulamos momentos desfrutamos amamos lembranças guardamos importam
1,talento
1,unanimidade
1,estabilidade
1,expectante
1,acredite batalhas dadas caráter
1,solidário
1,confiante
1,exatamente mundo precisa autenticidade
1,sorte consciência leve
1,consegue
1,deixe fé problemas
1,formoso
1,eficiente
1,civilizado
1,guerreiro
1,arriscar risco
1,eufórico
1,delicadeza
1,gentileza
1,interessado
1,lute fortalece resiste persiste
1,empático
1,idealismo
1,charme
1,prazer
1,exaltação
1,acessível
1,unificação
1,proteger
1,atencioso
1,primoroso
1,espetacular
1,operacional
1,escrúpulo
1,aprecie instante existem
1,sucesso músculo depende treino começar aparecer
1,transformação
1,confiabilidade
1,júbilo
1,destino
1,apaixonado
1,afaste arrasta negatividade vida encha coração otimismo gratidão feliz
1,franco
1,paz
1,equilibrado
1,dinâmico
1,rejuvenescer
1,alucinante
1,uno
1,vistoso
1,querência
1,quimera
1,cortês
1,inclusão
1,vontade
1,credibilidade
1,serenidade
1,genuinamente
1,espiritualidade
1,impressionante
1,sonho
1,resistência
1,fala virar página
1,infinidade
1,inspiração
1,discrição
1,disposição
1,misericórdia
1,construtivo
1,conserve olhos fixos ideal sublime lute deseja fracos desistem luta digno vida
1,vamos combinar feliz
1,resoluto
1,valorização
1,cabeça erguida
1,confiável
1,amor
1,organizado
1,felicitação
1,gracioso
1,carisma
1,imensidão
1,guia
1,genial
1,lema drama ação choro força coração
1,cultura
1,transcendental
1,resultado
1,conquista
1,venerar
1,independência
1,fidedigno
1,emancipado
1,lisura
1,orgulhoso
1,leal
1,renomado
1,bondoso
1,recurso
1,prestável
1,construir
1,respeitoso
1,bênção
1,comece acreditando
1,sentimento
1,moral
1,presente
1,experiência
1,zelar
1,ostentando
1,diversidade
1,influência
1,brilho
1,radiante
1,precisa melhorar faça
1,lisonjeiro
1,santo
1,unificar
1,beleza
1,muita vida controlo livre sorrir sonhar amar quiser
1,libertação
1,natural
1,aparece precisa desaparecer precisar
1,longevidade
1,gigantesco
1,beneficente
1,força
1,abrace
1,riso
1,gana
1,positivo
1,fera
1,trégua
1,disponibilidade
1,normal
1,afirmação
1,espanto
1,triunfal
1,renascido
1,juntar
1,afirmativo
1,contentamento
1,festa
1,decoro
1,vale criticado criticar
1,mestre
1,seriedade
1,competência
1,jucundo
1,sossego
1,concordar
1,riqueza
1,tolerância
1,disciplinado
1,adoce vida rotina amarga
1,sorriso
1,orgulho
1,perspicaz
1,gênese
1,nítido
1,cativar
1,precisão
1,apreciar
1,prontidão
1,nobreza
1,mudança
1,adianta fisicamente atraente gentil engraçado emocionalmente inteligente
1,compreender
1,hospitalidade
1,revelação
1,dedicação
1,melhorar saúde exercite pensar clareza medite
1,invicto
1,paciente
1,encorajar
1,comece
1,unidade
1,estagnação
1,beijar
1,alguma encontra encontra desculpas
1,venerável
1,zênite
1,intelectualidade
1,sorte talento
1,legitimidade
1,potencial
1,excelente
1,foco
1,plenitude
1,presteza
1,inteligência
1,caridade
1,admirável
1,nitente
1,vida
1,unívoco
1,tato
1,tesouro
1,positividade maldade cabe
1,inefável
1,jocoso
1,alegre
1,orientação
1,aprovação
1,responsabilidade
1,transparente
1,prestigioso
1,fidedignidade
1,paixão
1,adaptabilidade
1,zen
1,simpatia
1,quintaessência
1,autenticidade
1,continua vivo chegou deveria
1,persistir
1,responsável
1,equidade
1,legal
1,holístico
1,pra crise riso
1,sorridente
1,surpreendido
1,norte
1,acredite guardado
1,nascimento
1,gente agradece coisas acontecem
1,colaborar
1,tranquilizar
1,venturoso
1,namorado
1,capacidade
1,vitalidade
1,glamour
1,talentoso
1,deixe trás tempos sofrimento jamais esqueça aprendeu
1,disciplina sacrificar viver décadas
1,benevolência
1,renovado
1,agradecer
1,reclamar agradecer
1,recomeço
1,sistematização
1,junto
1,sucesso inteligência consistência
1,terno
1,ousadia
1,idílico
1,glamoroso
1,longânime
1,aconchego
1,cordialidade
1,aceitação
1,altruísta
1,felicidade
1,fortalecer
1,estimular
1,confortável
1,coragem
1,leve
1,história
1,bondade
1,amada
1,jubilante
1,choro durar alegria manhã
1,beleza vida preciso espelho
1,incomparável
1,qualidade
1,maduro
1,amizade
1,contribuir
1,brigar bobagens rir bobagens
1,admiração
1,autoconfiança
1,presença
1,qualificar
1,confiança borracha fica erro cometido
1,nitidez
1,perfeito
1,invencível
1,motivador
1,futuro
1,compaixão
1,higidez
1,fé
1,divinal
1,cordial
1,xodó
1,amor alma habita corpos
1,glorificar
1,favorito
1,sapiência
1,independente
1,tremendo
1,prosperar
1,levante sorria diga
1,perder
1,generosidade
1,perdurar
1,satisfeito
1,prosperidade
1,alicerce
1,equânime
1,esclarecido
1,oportuno
1,reverência
1,aclamação
1,maturidade
1,empolgação
1,merecer
1,justo
1,glorioso
1,saúde
1,cuidadoso
1,honrado
1,otimismo fé ação levar efeito otimismo
1,benfeitor
1,êxtase
1,mude rumo conseguir estrada
1,orientado
1,gratífico
1,vou preocupar errado certo
1,desenvoltura
1,melhoria
1,força ventos contrários
1,sustentado
1,aprenda guardar sonhos silêncio barulho incomoda torce
1,dignidade
1,memorável
1,trabalhador
1,carinhoso
1,equanimidade
1,esqueça motivo sorriso
1,precisa buscar perfeição feliz
1,dirigir
1,companhia
1,propósito deus problema
1,viva esperança amanhã
1,santidade
1,aprecia
1,perdoar
1,extrovertido
1,aconchegante
1,simples
1,animação
1,retidão
1,apoiar
1,brioso
1,quente
1,cumprir
1,zéfiro
1,exemplar
1,investimento
1,odisseia
1,denodo
1,resistente
1,enlouqueça buscando perfeição defeitos importantes existem possamos aprender
1,querença
1,obediente
1,desistir desista fraco
1,fidelidade
1,beleza exatamente preço
1,qualificado
1,natalício
1,objetivo
1,ninho
1,relaxado
1,uníssono
1,útil
1,virtude
1,aceitar
1,mágico
1,cuidar
1,cuidado
1,coloque limites sonhos coloque fé
1,incentivar
1,subida
1,perspectiva
1,reconhecimento
1,vocação
1,inovação
1,eloquência
1,intuitivo
1,determinado
1,alegria
1,bendito
1,majestade
1,deixe façam desistir daquilo vida acredite lute conquiste acima feliz
1,evoluir
1,resplandecer
1,contribuição
1,notadamente
1,feliz começa sorriso rosto
1,amável
1,uniforme
1,estímulo
1,ambição
1,criar
1,magno
1,ágil
1,dias
1,famoso
1,ventura
1,assiduidade
1,namoramento
1,capaz
1,impávido
1,coragem vida gosta destemidas
1,bemdisposto
1,bravura
1,inspirado
1,rir
1,cooperação
1,entender
1,vitorioso
1,novidade
1,aventura
1,refrescado
1,magia
1,natureza
1,momentos vida passam rápido faça inesquecíveis acompanhados sorrisos
1,belo
1,empatia
1,empoderar
1,angélico
1,astúcia
1,abundância
1,utilidade
1,superação
1,gentil
1,autêntico
1,nutrir
1,querubim
1,melhorar
1,imprescindível
1,incrível
1,vigor
1,bemvindo
1,maneiro
1,transborde
1,comunicação
1,empolgar
1,estupendo
1,ação
1,mudança comportamento pedido desculpas
1,benefício
1,nirvana
1,otimismo mania sustentar
1,felicidade marcelo jeneci
1,ninguém velho acredite viver
1,deslumbrar
1,invulnerabilidade
1,carinho
1,abrir janela agradecer lema
1,segredo
1,germinar
1,melhor seguir frente virando definitivamente costas ficou trás
1,reflexão
1,energia
1,aconchegar
1,possibilidade
1,fortaleza
1,intrínseco
1,fabuloso
1,livre
1,estimulado
1,conseguir desista
1,imagine história vida acredite nela
1,torna duro duros continuam caminhando
1,legítimo
1,educar
1,objetivo simplesmente procure melhor versão si
1,agilidade
1,vertiginoso
1,universalidade
1,animada
1,afabilidade
1,beneficência
1,querido
1,efervescência
1,autônomo
1,zelo
1,amor digna respeito pessoa merece amada
1,viver esperar tempestade passar aprender dançar chuva
1,perseverança
1,traquejo
1,moralidade
1,compromisso atrase deixe
1,gratidão
1,otimismo esperar melhor confiança lidar pior
1,magnífico
1,cortesia
1,naturalmente
1,promover
1,acreditar sofre olhos exprimem erro fácil cometer
1,inesquecível
1,equipe
1,pedras guardo vou construir castelo
1,agradar
1,nobre
1,idealista
1,disposto
1,elegância
1,ajudar
1,intrepidez
1,sereno
1,simplificar
1,digno
1,sucesso treino
1,humilde
1,totalidade
1,aceite mudar mude aceitar
1,milagre
1,conexão
1,iniciativa
1,graciosidade
1,vivacidade
1,direção
1,futuro pertence àqueles acreditam beleza sonhos
1,deliciosa
1,compartilhar conhecimento maneira aprender
1,praticidade
1,desafio vontade vencer
1,presente pressente futuro
1,fiel
1,aliviado
1,sintonia
1,sensato
1,universal
1,válido
1,céu azul nublado vida muda errado
1,coração
1,leve tristeza
1,libertador
1,portoseguro livro música pessoa oração importa lembrar portoseguro espera momentos difíceis
1,cultivar
1,humanitário
1,fascinante
1,preserve saúde mental fique pede mão estende
1,resiliente
1,desafio
1,urbano
1,natal
1,elogio
1,solidariedade
1,viável
1,intervir
1,engenho
1,piedoso
1,ótimo
1,adaptável
1,visionário
1,reputação
1,notável
1,louvor
1,originalidade
1,clareza
1,prodigioso
1,curiosidade
1,valente
1,comunidade
1,fruir
1,juventude
1,inteligente
1,grandioso
1,aprender
1,abraço
1,utópico
1,atraente
1,estudioso
1,excitado
1,justiça
1,tenacidade
1,preservar
1,limpeza
1,vitória
1,real
1,crescimento
1,querer
1,divino
1,limpo
1,leveza
1,mutualidade
1,ilustre
1,organização
1,impavidez
1,joia
1,íntegro
1,total
1,preferir
1,sucesso
1,admirado
1,gostoso
1,amabilidade
1,requintado
1,afável
1,apreciado
1,segurança
1,orientar
1,abnegação
1,meigo
1,faça tristeza confete jogue alto deixe vento levar
1,diligência
1,fantasia
1,comparação ladra felicidade
1,entendimento
1,altivo
1,exuberante
1,ativar
1,expansivo
1,benignidade
1,objetividade
1,quintessência
1,conectar
1,heroísmo
1,solicitude
1,batalhar
1,bemeducado
1,bonança
1,sensatez
1,acreditar
1,ganhar
1,unissonante
1,congruência
1,abrigo
1,modesto
1,tradição
1,união
1,disney
1,corajoso
1,racionalidade
1,renovar
1,celestial
1,consideração
1,revigorar
1,sossegar
1,alerta
1,tranquilo
1,adição
1,privacidade
1,alcançar
1,mesura
1,concentração
1,expressivo
1,humildade melhor ninguém diferente
1,repouso
1,competente
1,preciso paciente esperar passe perceber certas decisões acertadas
1,renascer
1,sagaz
1,caritativo
1,disponível
1,unificador
1,simpático
1,sagacidade
1,expressividade
1,jubileu
1,brilhante
1,feliz
1,unido
1,natividade
1,dever
1,sonho discute conquista
1,rezar
1,benzer
1,questionador
1,exato
1,encontrar sol sol
1,verossímil
1,ativo
1,lutador
1,destemido
1,acredito naquilo tocar acredito luiza brunet
1,progresso
1,benevolente
1,fácil sofrer derrota difícil perder sabendo sequer tentou
1,pureza
1,perseverar
1,deslumbrado
1,transigência
1,emancipação
1,diligente
1,obsequioso
1,liberto
1,perfeição
1,crença
1,fascinate
1,altruísmo
1,imenso
1,beldade
1,postou foto significa vida incrível
1,maravilha
1,eternidade
1,transformar
1,preciso
1,zínia
1,embelezar
1,excelência
1,frontalidade
1,idear
1,intrigado
1,família amigos virtudes base constrói base
1,temperança
1,original
1,racional
1,aprovar
1,decente
1,benemérito
1,crível
1,lisonjear
1,suave
1,esperança
1,brilhar
1,procura pessoa possa mudar vida olhe espelho
1,normalidade
1,iminência
1,coerente
1,viver
1,empreendedorismo
1,espírito
1,eficiência
1,resiliência
1,meiguice
1,carismático
1,importância
1,honra
1,atrapalhe presente frustrações passado
1,pontualidade
1,elétrico
1,zelosia
1,hábito saudável levar pessoal
1,ideia
1,quietude
1,seguro
1,felicidade tristeza
1,quimérico
1,relacionamento saudável precisa forçado
1,polido
1,interesse
1,oportunizar
1,respeitável
1,bonito
1,genialidade
1,coisas lindas esperando
1,gênio
1,inteiro
1,clemência
1,lícito
1,notabilidade
1,sonho precisa realizado acredite possa realizado
1,descansar
1,companheiro
1,magnificência
1,assertivo
1,promoção
1,lhaneza
1,bemestar
1,acreditar feliz procurando infelicidade alheia
1,consistência
1,suficiente
1,gentilmente
1,civilidade
1,integridade
1,globalidade
1,continuidade
1,clarividência
1,esforçado
1,positividade
1,eminência
1,restaurar
1,louvável
1,estudo
1,reconciliação
1,ansiar
1,hilariante
1,próspero
1,proeminência
1,límpido
1,humanidade
1,jeitoso
1,namaste
1,utopia
1,carícia
1,sinergia
1,delícia
1,empreendedor
1,hospitaleiro
1,estilo
1,brincar
1,decência
1,ordem
1,fundamental
1,aclamado
1,reconfortante
1,importante
1,atitude
1,amigável
1,perdão
1,equilíbrio
1,deus tira traz
1,realidade
1,honesto
1,puro
1,aplaudir
1,obediência
1,namoriscar
1,lúcido
1,muitas situações inteligente reagir
1,importar
1,liberal
1,perseverante
1,surpreendente
1,frontal
1,otimização
1,consolo
1,aplauso
1,amoroso
1,harmonizar
1,auspicioso
1,ternurento
1,vital
1,valentia
1,deixe derrubarem lute acredita
1,atrativo
1,cavalheiro
1,fenomenal
1,ternura
1,juvenil
1,amanhã cultivar
1,eterno
1,acredite ideais lute tornem dogma
1,melhor vir acredite
1,batalhador
1,insucesso oportunidade começar inteligência
1,vida movimento altos baixos alegrias tristezas acabar aproveite aprenda
1,mestria
1,faça felicidade objetivo modo vida
1,paciência
1,sensibilizar
1,fraternidade
1,motivação
1,espaçoso
1,torna imbatível motivado processo progresso
1,tenaz
1,rainha
1,vencer
1,contributo
1,qualificação
1,desenvolvimento
1,vulnerabilidade
1,sedutor
1,honestidade
1,sagrado
1,amigos melhores maneiras enriquecer alma
1,nitidamente
1,calor
1,activo
1,iluminação
1,purificar
1,majestoso
1,hegemonia
1,devotado
1,livremente
1,triunfante
1,jovem
1,aceite mudar mude acertar
1,simplicidade
1,surpreender
1,amorpróprio
1,triunfo
1,fama
1,adoração
1,maravilhoso
1,vida diferente preciso mudar hábitos pensamentos padrões
1,humor
1,vantajoso
1,compreensão
1,imortalidade
1,impossível progredir mudança mudam mentes mudar
1,saudável
1,romântico
1,graça
1,genuíno
1,expressão
1,inocente
1,exultante
1,jubiloso
1,camaradagem
1,realista
1,melhor
1,escolha
1,absorvido
1,sensibilidade
1,hábil
1,conhecimento
1,delicioso
1,felizmente
1,quiescente
1,singularidade
1,campeão
1,autoestima
1,faça pazes passado atrapalhará presente
1,educação
1,superado
1,lhano
1,alma
1,valioso
1,hombridade
1,jubilar
1,tolerante
1,versatilidade
1,universo
1,dica acorde sorrindo aumenta chances sorrirem volta
1,herói
1,consciência
1,profissionalismo
1,siga
1,lucidez
1,plante fé colha milagres
1,razão
1,festivo
1,genuinidade
1,acostumese pedras construirá castelo
1,mente aprisionar
1,misericordioso
1,merecedor
1,recordação
1,coisas
1,honroso
1,eficácia
1,intrépido
1,pude
1,respeito
1,zina
1,certo dará certo
1,sabedoria
1,revigorado
1,gratificante
1,criatividade
1,aprendizagem
1,agradável
1,infinito
1,zeloso
1,tranquilidade
1,deferência
1,empenho
1,glória
1,querençoso
1,zumbaia
1,centrado
1,galã
1,jovialidade
1,mágica
1,preparado
1,divertido
1,entusiasmo
1,sensacional
1,elevação
1,docilidade
1,zelação
1,enfático
1,sentido vida pra frente emicida
1,iluminado
1,harmonioso
1,realização
1,vivo
1,evite desencorajarse mantenha ocupações faça otimismo maneira viver restaura fé si
1,amor fantasia encontro ultimamente pleno carnaval
1,elevado
1,brio
1,imperturbável
1,disciplina
1,firmeza
1,intuição
1,gerar
1,xará
1,vantagem
1,vento leve necessário traga suficiente
1,imaculado
1,filantropia
1,honorífico
1,prodígio
1,veneração
1,autonomia
1,unânime
1,intenção
1,franqueza
1,criativo
1,grandiosidade
1,emocionado
1,operante
1,lute perfeito luta autodestruir
1,balanceado
1,pacífico
1,envolvimento
1,equitativo
1,miraculoso
1,envolver
1,surpresa
1,normalmente
1,deixe escapar vida feliz
1,conforto
1,marcante
1,transparência
1,nutritivo
1,modéstia
1,conquistar
1,transformador
1,disse “eu amo”
1,rejuvenescido
1,sorriso criança presente
1,arte
1,fulcral
1,questionar
1,cumpridor
1,céu
1,magnificente
1,adequada
1,acredita vale pena viver convicção ajudará criar fato
1,vencedor
1,hilaridade
1,luz
1,comprometimento
1,elevar
1,sublime
1,vulnerável
1,risonho
1,assertividade
1,virtuoso
1,cura
1,lúdico
1,desejo
1,verídico
1,namorar
1,intervenção
1,força vontade chances coisas darem certo
1,jogue sorrir
1,igualdade
1,ideal
1,pacificar
1,perspicácia
1,jovial
1,flexibilidade
1,heroico
1,vibrante
1,lídimo
1,romance
1,incondicional
1,gostar
1,transcendente
1,família
1,autoperdão
1,emoção
1,magnânimo
1,adorar
1,adequado
1,preservação
1,olha mundo simplicidade desfruta coisas esquece
1,poderoso
1,poesia
1,hilário
1,exaltado
1,mostre feridas confia sangue atrai tubarões
1,acredite metade
1,vale pena alma pequena
1,proatividade
1,firme
1,polidez
1,pensamento positivo impulsiona direção certa
1,benéfico
1,colaboração
1,encanto
1,sério
1,alívio
1,valoroso
1,incentivo
1,agradecimento
1,calma
1,fina
1,contente
1,tolerar
1,global
1,obséquio
1,enorme
1,existe vontade existe chance certo
1,amigo
1,risada
1,aprender apreciar companhia resultados amor
1,namoro
1,destacamento
1,convicção
1,abençoar
1,evolução
1,diversão
1,sorriso abre portas paraíso
1,líder
1,bênção lição
1,coisas simples parecem especiais percebe vida
1,persistência
1,satisfação
1,gigante
1,respeitar
1,educado
1,fruição
1,jucundidade
1,valorizar amar
1,dedicado
1,facilidade
1,ousado
1,apaixona si rivais
1,compassivo
1,fantástico
1,química
1,fascínio
1,encantado
1,excepcional
1,proteção
1,otimista
1,abertura
1,impagável
1,certo
1,descoberta
1,dinamismo
1,audácia
1,sorrir
1,filantropo
1,lisonjeado
1,interessante
1,convicção perdas perda
1,generoso
1,piedade
1,liderança
1,cooperar
1,encorajador
1,desejável
1,exatidão
1,confunda merece aceita
1,pacato
1,único
1,lindeza
1,ajuda
1,conseguir
1,otimismo
1,dias especiais esperança
1,garra
1,fácil
1,celebração
1,grandeza
1,realizar
1,naturalidade
1,desenvolver
1,humano
1,comece fazendo necessário faça repente fazendo impossível
1,decore alma sorrisos sinceros
1,emular
1,envolvidos
1,motivos sorrir invente
1,realizado
1,inspirar
1,saudade
1,sábio
1,astucioso
1,adorado
1,especial
1,crescer
1,abundante
1,proeza
1,comece amando resto
1,ceder
1,deus
1,imaginação
1,lealdade
1,deixe trás leva frente
1,deixe alegria viver brotar coração
1,nato
1,resolvido
1,otimizar
1,humildade
1,milagroso
1,justiceiro
1,extraordinário
1,sororidade
1,comunhão
1,significativo
1,pedra atire flor
1,interior paz exterior
1,lisonja
1,respeitado
1,determinação
1,fino
1,claro
1,exploração
1,oportunidade
1,comemorar
1,harmonia
1,atenção
1,tempestades ensinam navegar
1,grato
1,façanha
1,delicado
1,inacreditável
1,afluência
1,brincalhão
1,uniformidade
1,nutrido
1,atração
1,companheirismo
1,gratidão tesouro humildes
1,absoluto
1,sorriso paz amor acompanhe
1,beijo
1,habilidade
1,janota
1,mantenha espírito positivo acredite melhor
1,sonhador
1,alimentar coração energias
1,felicidade deu errado deixe acreditar sonho realizado
1,confiança
1,gosto
1,bemhumorado
1,persistente
1,adorável
1,liberdade
1,fiabilidade
1,pedir ajuda ato sabedoria
1,mérito
1,entram vida chegam ficar chore valorize minoria fica
1,amar
1,consciente
1,acomodação
1,sorte
1,brincadeira
1,veracidade
1,nascer
1,fascinado
1,bemhumorada
1,lindo
1,trato
1,continue caminhando devagar passo melhor nenhum
0,caótico
0,piru
0,grosseiro
0,viada
0,escrota
0,ganancioso
0,inflexível
0,filho puta
0,irascível
0,cagao
0,baitola
0,neurótico
0,cretina
0,piranha
0,prefere café chá
0,veadao
0,vaca
0,moleca
0,difamatório
0,safado
0,cuzao
0,anus
0,abominoso
0,iscroto
0,queria salão cortar cabelo
0,fudida
0,gosta estudar gosta praticar esportes
0,intrometido
0,fodao
0,moleque
0,rabudona
0,retardada
0,desagradável
0,ridículo
0,vacuous
0,cornuda
0,sacanagem
0,rachadinho
0,chef cozinhou prato gosto médio
0,desutilidade
0,debil
0,peia
0,insolente
0,demos olhada exposição
0,estupido
0,amaldiçoado
0,punheta
0,juntos
0,bicha
0,debiloide
0,naba
0,otario
0,gosmenta
0,amigos concordam permanecem
0,abominável
0,conseguimos ingressos fila show
0,buca
0,bagunceiro
0,crédulo
0,fraca vontade
0,aparecer enfia rojão cu sai voando
0,mocreia
0,nojento
0,desvantagem
0,acho gosta açúcar chá
0,iscrota
0,canalha
0,intolerável
0,ofensivo
0,deram festa chamaram
0,idiota
0,abrasivo
0,puto
0,aprender primo
0,arrastar cu brita mim
0,lésbica
0,falo francês
0,desonesto
0,vago
0,prostbulo
0,confronto
0,intolerante
0,fudido
0,pro caralho
0,queria malentendido desnecessário
0,bebum
0,remela
0,cacete
0,inutilidade
0,prostituto
0,otaria
0,maquiavélico
0,basicamente diria fresco comer pizza colher
0,chota
0,fala filhote lombriga
0,incapacidade
0,passou raiva rasgar cu unha
0,aviltante
0,mesquinho
0,bosta certidão nascimento pedido desculpas fábrica preservativos
0,indolent
0,estupidez
0,malevolent
0,feio acho nasceu cu
0,paspalha
0,improficuidade
0,fodase
0,xoxota
0,egua
0,saco merda
0,doido
0,confusa chocada
0,corna
0,pilantra
0,rabao
0,boceta
0,fodido
0,imbecil
0,desuso
0,farisaico
0,troxa
0,sádico
0,furnica
0,furona
0,felacao
0,fode
0,passa paquita capeta
0,imprevisível
0,vale peido jumenta
0,puta
0,mata desgosto
0,sifilis
0,nojenta
0,piroco
0,mano fala merda metralhadora bosta
0,nenhum terminou dever casa
0,pudemos deixar notar enorme marca rosto
0,gostaram apresentação
0,burro
0,rachada
0,petulante
0,mulherengo
0,invejoso
0,confiável
0,sapatao
0,gonorreia
0,mondronga
0,buceta
0,pus
0,cornudo
0,blasfematório
0,olho cú
0,detestando
0,indeciso
0,aparência artificial
0,vamos piquenique empresa
0,festa apesar sido convidada
0,sai daqui geladinho chorume
0,chifruda
0,culhao
0,doida
0,boco
0,fudecao
0,desonroso
0,chance assistir filme peça semana
0,maldade
0,humilhante
0,comporta pior
0,ladra
0,ama trabalha colocar comida mesa
0,piroca
0,rachadao
0,corrupto
0,ouvimos falar resultados
0,bolagato
0,corno
0,encher saco
0,pensamentos
0,boazuda
0,desfavorável
0,chifrudo
0,tarado
0,enganar
0,direi pai chegar
0,família abastada si
0,insultante
0,chegará algum
0,chance conversar ônibus
0,cretino
0,retorna ligações importa liguemos
0,gosma
0,trabalha conosco
0,feio
0,facista
0,afastese vista
0,continuar vou castigar
0,cagar
0,dissimulado
0,inaplicabilidade
0,vamos comer cheguem
0,ramela
0,superfluidade
0,desorganizado
0,cadela
0,leproso
0,estupida
0,desejando irritar
0,vacilante
0,filme escaparam selva
0,ficar
0,pegajoso
0,machorra
0,gaiata
0,participando seminário
0,casseta
0,chereca
0,pessimista
0,feiozo
0,bunda
0,insultuoso
0,alunos falar aula
0,olha pra mim pior saco lixo peruca
0,fodendo
0,furado
0,ciumento
0,foder
0,ladrona
0,rabugento
0,aborrecível
0,desequilibrado
0,ridiculo
0,parque diversões
0,disse nota teste
0,cachorra
0,tarada
0,chupada
0,furo
0,paspalhao
0,olhota
0,furada
0,flácido
0,feioza
0,aprenda irmão
0,leprosa
0,rosca
0,prega
0,mano saco vacilo
0,feioso
0,hipercrítico
0,rabuda
0,monte merda
0,chupa pau
0,peru
0,mocrea
0,bunduda
0,picao
0,amigos
0,mentiroso
0,malcriado
0,cachorro
0,pentelha
0,viadao
0,fedido
0,trolha
0,checheca
0,acreditando superior agindo
0,espantalho fandangos trabalha melhor
0,condescendendo
0,conseguimos olhada ator favorito
0,imprestabilidade
0,paspalho
0,ridícula
0,odioso
0,estudantes universitários perder aulas
0,gosta insetos medo
0,mijada
0,japa
0,ganhou elogios nenhum prêmio talentos atuação canto
0,ressentido
0,péssimo
0,feiosa
0,bisca
0,busseta
0,rola
0,rachadinha
0,bacura
0,sullen
0,livro lendo ótimo
0,trepar
0,desajeitado
0,nadega
0,mijar
0,nojeira
0,cu
0,detestável
0,desconhecimento
0,mentalmente perturbado
0,escova dente sai daqui bafo bunda
0,podíamos feriado prolongado havíamos planejado
0,pau
0,apático
0,caralho
0,veado
0,viado
0,paca
0,possessivo
0,irritado vida
0,caga
0,vindictive
0,manguaca
0,vagabunda
0,tacanho
0,difunto
0,brexa
0,agressivo
0,brocha
0,chibumbo
0,maliciosa
0,afrontoso
0,gonorrea
0,indiscreto
0,clitoris
0,indiferente
0,pentelho
0,narcisista
0,rabo
0,rude
0,racha
0,babaovo
0,ineficiência
0,mijo
0,curalho
0,museu arte falando
0,puta pariu
0,masturba
0,levou consideração idéias
0,oportunidade conversar chefe
0,mijado
0,melodramático
0,fedor
0,furnicar
0,iremos gala
0,irresponsável
0,fornica
0,podemos aceitar proposta comercial
0,víado
0,impraticabilidade
0,furão
0,nojo
0,rolinha
0,cagona
0,haverá comida evento
0,família comia comida deixamos mesa
0,prostibulo
0,vamos grécia férias
0,partida devido ferimentos
0,proprietário problemas conosco overstaying boasvindas
0,esporro
0,pareceu gostar presente compramos
0,sensível
0,siririca
0,impaciente
0,porra
0,mija
0,insensível
0,chochota
0,execrável
0,pra caralho
0,cuzudo
0,antipático
0,defunto
0,peça pensei
0,ineficácia
0,rabudao
0,bagos
0,parecia entender conceito totalidade administrava sabia
0,cagado
0,disse ligaria pediu
0,chibumba
0,garantiu competição
0,cobarde
0,pustula
0,manipulador
0,besta
0,hedonistic
0,morose
0,boiola
0,foda
0,fodida
0,galinha
0,demonio
0,chupado
0,repulsivo
0,podíamos esperar experimentar lanches feira alimentos
0,lalau
0,cuzuda
0,desdenhoso
0,babaca
0,gosmento
0,amiga leu nenhum livros recomendei
0,julgamento
0,boquete
0,brigando
0,depreciativo
0,rabudo
0,safada
0,nenhum problema acomodar hóspede casa
0,cracudo
0,punhetao
0,deplorável
0,cruzcredo
0,financeiramente seguro longa fase vida
0,bajulação
0,trouxa
0,distante
0,jeans pertencem nenhum
0,arrombado
0,gaiato
0,nulidade
0,insuportável
0,corrupta
0,vagabundo
0,coniving
0,tomar cu
0,hostis
0,prefiro comer bife rato comida
0,acho conhece história
0,peido
0,sacana
0,feia
0,injurioso
0,fenda
0,visitamos casa ancestral
0,conta ovo frito belo saco bosta
0,bosta
0,beligerante
0,idiotice
0,laptop absolutamente carga nele
0,farta
0,brecha
0,bixa
0,ama
0,ladrao
0,trocha
0,autoritário
0,meleca
0,brioco
0,ruindade
0,brincalhão
0,gostamos design podemos usálo
0,realizaram tarefa maneira pedimos
0,cassete
0,mondrongo
0,prostituta
0,bostana
0,ladroeira
0,cocaina
0,emprestou sequer livros
0,bolcat
0,bronha
0,músico favorito lança música
0,cara cu cãibra
0,bosseta
0,aprender
0,cabeça porco
0,puxasaco
0,fedorenta
0,machona
0,burra
0,fedida
0,puta merda
0,arrogante
0,fudendo
0,perereca
0,esporrada
0,pica
0,infrutuosidade
0,gosto
0,desprezo
0,ouviram
0,retardado
0,troucha
0,merda
0,descuidado
0,tolice
0,convidaram muitas casamento
0,caceta
0,veada
0,podíamos nadar regras
0,austereza
0,aném filho chupar prego virar tachinha
0,escroto
0,ficar castigo
0,vou ligar foda coçar cu serrote
0,malvado
0,rachado
0,telefone funcionando
0,favorito apresentará show talentos
0,coco
0,sofá zona
0,contou ninguém motivo deixar emprego
0,segue regras
0,esporrado
